sep=|
|||||||||||||Pvpmin,||Pvpmax|
No.|Formula|Name|CAS #|Eq. #|A/A/Tc|B/B/a|C/C/b|Tc/c|to/d|n/Pc|E|F|bar|Tmin, K|bar|Tmax, K
112|c4h„|eyclobutane|287-23-0|2|4.04436|1025.500|241.430|460.00|20|2.17400|0.000|0.00|2.161|308.15|49.90|460.00
113|c4h„|1 -butene|106-98-9|1|3.91780|908. 800|238.540||||||0.02|196.41|2|285.88
113|c4h„|1 -butene|106-98-9|2|3.91780|908.800|238.540|419.95|1|2.10580|-66.740|5100.70|2.16|288.15|36.18|413.15
114|c4h„|trans-2-butene|624-64-6|1|4.00827|967.5000|240.840||||||0.02|201.83|2|293.29
114|c4h„|trans-2-butene|624-64-6|2|4.00827|967.5000|240.840|428.63|8|2.71670|49.772|-1061.2|1.69|288.15|30.82|413.15
115|C4Hh|eis-2-butene|590-18-1|1|4.00958|967.3200|237.873||||||0.02|204.73|2|296.1 1
115|C4Hh|eis-2-butene|590-18-1|2|4.00958|967.3200|237.870|435.58|11|2.60300|47.148|-1082.1|2.14|298.15|34.81|423.15
116|C4Hh|2-methylpropene|115-11-7|1|3.80956|866.2500|234.640||||||0.02|195.77|2|285.41
116|C4Hh|2-methylpropene|115-11-7|2|3.80956|866.2500|234.640|417.90|0|1.59900|-150.96|9633.00|2.2|288.15|37.00|413.15
117|C4HhO|butanone (methyl ethyl ketone)|78-93-3|1|4.13860|1232.630|218.690||||||0.02|265.62|2|375.66
117|C4HhO|butanone (methyl ethyl ketone)|78-93-3|2|4.13860|1232.630|218.690|536.80|87|2.31490|-4.900|3279.00|2.14|378.15|39.69|533.15
118|C4HhO|tetrahydrofuran|109-99-9|1|4.12142|1203.1 10|226.355||||||0.02|253.50|2|361.71
119|C4HhO,|butanoic aeid|107-92-6|1|4.82340|1731.708|195.955||||||0.02|342.70|2|460.12
119|C4HhO,|butanoic aeid|107-92-6|3|624.00|-8.42953|1.34333|-5.37332|-2.74438|40.30|||||40.30|624.00
120|c4h„o,|2-methylpropanoie aeid|79-31-2|1|3.71153|1097.830|141.740||||||0.02|334.00|2|453.31
120|c4h„o,|2-methylpropanoie aeid|79-31-2|3|605.00|-8.53258|1.30605|-5.2242|-2.05813|37.00|||||37.00|605.00
123|C4HhO,|methyl propanoate|554-12-1|1|3.98745|1 129.570|204.240||||||0.02|267.50|2|375.32
124|C4HhO,|ethyl ethanoate (ethyl acetate)|141-78-6|1|4.13361|1195.130|212.470||||||0.02|265.50|2|372.51
125|C4HhO,|propyl methanoate (propyl formate)|110-74-7|1|3.97008|1 132.300|204.080||||||0.02|268.90|2|377.68
126|C4HyCl|2-ehlorobutane|78-86-4|1|4.12220|1245.200|234.400||||||0.02|252.60|2|364.62
127|C4H„,|butane|106-97-8|1|3.93266|935.7730|238.789||||||0.02|200.50|2|292.03
127|C4H„,|butane|106-97-8|3|425.25|-7.01763|1.67770|-1.9739|-2.1720|37.92|||||37.92|425.25
128|c4h„,|2-methylpropane (isobutane)|75-28-5|1|4.00272|947.5400|248.870||||||0.02|190.40|2|280.25
128|c4h„,|2-methylpropane (isobutane)|75-28-5|2|4.00272|947.5400|248.870|408.14|-5|2.67050|-19.640|2792.00|1.863|278.15|19.87|373.15
129|c4h„,n2|piperazine|110-85-0|3|661.00|-8.10664|3.36281|-4.52962|-3.8278|58|||0.90976|418.00|2.7|460.48
130|c4h„,o|1 -butanol|71-36-3|1|4.64930|1395.140|182.739||||||0.02|310.18|2|411.26
130|c4h„,o|1 -butanol|71-36-3|3|563.05|-8.40615|2.23010|-8.2486|-0.7110|44.24|||||44.24|563.05
131|c4h„,o|2-methyl-1 -propanol 1 isobutanol)|78-83-1|1|4.34504|1 190.380|166.670||||||0.02|303.40|2|400.84
131|c4h„,o|2-methyl-1 -propanol 1 isobutanol)|78-83-1|3|547.78|-8.31460|2.13678|-8.4832|-0.79774|43.04|||||43.04|547.78
132|c4h„,o|2-methyl-2-propanol (tert-butanol)|75-65-0|1|4.44484|1154.480|177.650||||||0.02|283.00|2|374.10
132|c4h„,o|2-methyl-2-propanol (tert-butanol)|75-65-0|3|506.20|-8.47927|2.47845|-9.27918|-2.53992|39.73|||||39.73|506.20
133|c4h„,o|2-butanol (sec-butanol)|78-92-2|3|536.01|-8.09820|1.64406|-7.4900|-5.27355|41.98|||||41.98|536.01
134|c4h„,o|diethyl ether|60-29-7|1|4.10962|1090.640|231.200||||||0.02|229.71|2|328.31
134|c4h„,o|diethyl ether|60-29-7|3|466.74|-7.43301|1.78847|-2.4793|-3.2811|36.50|||||36.50|466.74
135|c4h„,o2|1,2-dimethoxyethane|110-71-4|3|537.00|-8.0898|2.53555|-3.4809|-3.65036|39.60|||0.13332|305.86|2.7|392.29
136|c4h„,o2|1,2-butandiol|26171-83-5|3|680.00|-9.98662|5.09869|-9.38593|-2.85378|52.10|||0.02|372.55|2.7|506.40
137|c4h„,o2|1.3-Butanediol|107-88-0|3|676.00|-9.29011|3.03108|-9.27334|-1.05346|40.20|||0.006902|364.98|2.32|512.05
138|c4h„,s|3-thiapentane (diethyl sulfide)|352-93-2|1|4.05326|1257.833|218.662||||||0.02|273.10|2|389.71
139|c4h„n|1-butanamine (butyl amine)|109-73-9|1|4.30770|1276.870|220.520||||||0.02|265.20|2|371.32
139|c4h„n|1-butanamine (butyl amine)|109-73-9|2|3.90120|1041.310|191.000|526.80|84|2.03520|1398.00|-126749.|1.82|368.15|30.36|503.15
141|c4h„n|2-methyl-1 -propanamine (isobutyl|78-81-9|1|3.90070|1055.560|203.350||||||0.02|258.31|2|363.04
143|C,H,N|pyridine|110-86-1|1|4.16749|1373.026|214.690||||||0.02|292.51|2|413.57
143|C,H,N|pyridine|110-86-1|2|4.16750|1373.030|214.690|620.00|127|2.71070|-45.881|3987.76|1.98|413.15|52.26|613.15
144|C,H„0|2-methylfuran|534-22-5|1|3.70410|991.2000|203.290||||||0.02|253.30|2|361.13
145|C,H„|1 -pentyne|627-19-0|1|4.00260|1068.100|227.000||||||0.02|233.00|2|334.00
147|C,H„0|eyelopentanone|120-92-3|3|624.50|-7.36589|1.54092|-2.28143|-3.0514|46.00|||||46.00|624.50
148|C5H„,|eyelopentane|287-92-3|1|4.06783|1152.574|234.510||||||0.02|238.50|2|344.62
149|C5H„,|1 -pentene|109-67-1|1|3.96914|1044.010|233.450||||||0.02|223.89|2|324.32
149|C5H„,|1 -pentene|109-67-1|2|3.96914|1044.010|233.450|464.78|38|2.57510|122.880|-4873.4|1.66|318.15|25.17|443.15
150|c5h„,|eis-2-pentene|627-20-3|1|3.96798|1052.440|228.693||||||0.02|229.40|2|331.46
151|C5H„,|2-methyl-2-butene|513-35-9|1|4.09149|1 124.330|236.630||||||0.02|230.69|2|333.14
152|C5H„,|3-methyl-1 -butene|563-45-1|1|3.94945|1012.370|236.647||||||0.02|215.73|2|221.50
152|C5H„,|3-methyl-1 -butene|563-45-1|2|3.94945|1012.370|236.650|453.15|28|2.72220|95.875|-3435.8|1.67|308.15|35.50|453.15
153|c5h„,o|eyelopentanol|96-41-3|3|619.50|-7.40984|1.71852|-6.8471|-4.36177|49.00|||||49.00|619.50
154|c5h„,o|2-pentanone (methyl propyl ketone)|107-87-9|1|4.15140|1316.730|215.380||||||0.02|282.84|2|399.74
154|c5h„,o|2-pentanone (methyl propyl ketone)|107-87-9|2|4.15140|1316.730|215.380|561.10|120|2.06640|-348.80|52963.0|2.18|403.15|36.08|558.15
155|c5h„,o|3-pentanone (diethyl ketone)|96-22-0|1|4.42708|1481.170|233.010||||||0.02|281.90|2|399.12
156|c5h„,o|3-methyl-2-butanone (methyl|563-80-4|1|3.46583|955.4300|181.730||||||0.02|276.40|2|393.31
157|c5h„,o|2-methyltetrahydrofuran|96-47-9|1|3.95009|1175.510|217.802||||||0.02|263.44|2|377.49
158|c5h„,o2|pentanoie aeid|109-52-4|1|4.16920|1405.800|151.800||||||0.02|361.00|2|484.78
158|c5h„,o2|pentanoie aeid|109-52-4|3|643.00|-8.76701|1.54990|-6.19961|-4.21927|35.80|||||35.80|643.00
159|c5h„,o2|3-methylbutanoic aeid|503-74-2|1|4.58470|1676.300|189.500||||||0.02|350.00|2|474.97
