,Substance,Formula,refrigerant,cas_no,5,10,50,100,250,500,1000,2000,5000,10000,A,B,C,D
123,1-Heptene,C7H14,,"81624-04-6,25339-56-4,592-76-7,25511-64-2",-20.6,-10.6,16.9,31.0,52.5,71.4,93.2,118.7,159.2,196.4,-8.62839,3.98397,-4.58652,-2.45443
124,1-Octene,C8H16,,"111-66-0,26746-84-9",0.0,10.6,39.8,54.8,77.7,97.8,120.8,147.5,189.7,228.1,-7.9375,1.47392,-1.85509,-5.72867
125,Propadiene,C3H4,,"463-49-0,60731-10-4,12075-35-3",-109.8,-103.4,-85.8,-76.6,-62.4,-49.6,-34.7,-17.1,11.8,38.9,-8.00232,4.45942,-2.87994,-5.85178
126,"1,2-Butadiene",C4H6,,590-19-2,-80.9,-72.7,-50.4,-38.9,-21.7,-6.7,10.5,30.4,62.1,91.5,-6.07102,0.12159,-1.55692,-0.53215
127,"1,3-Butadiene",C4H6,,"106-99-0,130983-70-9,1983-06-8,26952-74-9,25339-57-5",-90.8,-83.3,-62.6,-52.0,-35.7,-21.4,-4.8,14.4,45.1,73.5,-6.79824,1.08553,-0.96279,-3.84778
128,"1,2-Pentadiene",C5H8,,591-95-7,-55.0,-46.2,-22.1,-9.7,9.0,25.5,44.4,66.6,102.3,136.1,-5.94252,0.2669,-2.35857,-1.73048
129,"trans-1,3-Pentadiene",C5H8,,"504-60-9,2004-70-8,41050-31-1,25549-62-6",-57.9,-49.1,-25.0,-12.6,6.2,22.6,41.6,63.8,99.7,133.9,-5.50529,-0.22313,-2.15448,-1.34395
130,"1,4-Pentadiene",C5H8,,591-93-5,-69.3,-60.9,-38.0,-26.2,-8.3,7.4,25.6,46.9,81.5,114.7,-5.36609,-0.09618,-2.3975,-1.13323
131,"2,3-Pentadiene",C5H8,,591-96-8,-51.8,-43.0,-18.7,-6.3,12.5,29.0,47.9,69.9,105.2,138.2,-6.57492,0.8224,-2.46643,-2.03177
132,Acetylene,C2H2,,"74-86-2,60382-96-9,12070-15-4",,,,,,,,-72.1,-51.7,-32.9,-6.99241,1.57338,-1.33202,-5.21884
133,Propyne,C3H4,,"74-99-7,7299-37-8,28391-48-2",-100.9,-93.9,-75.0,-65.3,-50.7,-38.0,-23.4,-6.6,20.2,44.8,-7.11026,1.86493,-2.56109,-1.65671
134,2-Butyne,C4H6,,"503-17-3,25684-85-9",,,,-23.9,-6.3,9.1,26.6,46.9,79.1,108.6,-6.85375,0.83418,-1.42544,-2.91847
135,1-Butyne,C4H6,,107-00-6,-79.1,-71.3,-50.2,-39.4,-23.0,-8.7,7.8,26.8,57.1,85.0,-7.17126,1.56844,-2.22263,-2.83839
136,Cyclopropane,C3H6,,75-19-4,-111.2,-104.3,-85.4,-75.7,-61.0,-48.1,-33.1,-15.7,12.6,39.0,-8.18446,5.40338,-5.26106,0.29975
137,Cyclobutane,C4H8,,"287-23-0,7236-82-0",-80.0,-71.9,-49.6,-38.1,-20.7,-5.4,12.2,32.6,65.0,94.8,-7.11287,1.86338,-1.59855,-2.35844
